age,annual_income,education_level,city_type,daily_commute_km,weekly_travel_distance_km,current_vehicle_type,vehicle_age_years,fuel_expense_per_month,charging_station_accessibility,nearest_charging_station_km,home_charging_available,electricity_cost_per_kwh,environmental_awareness_score,government_incentive_awareness,technology_affinity_score,range_anxiety_score,battery_replacement_concern,ev_knowledge_score,previous_ev_experience,ev_adoption_likelihood,monthly_energy_consumption_kwh,monthly_charging_cost,Potential_Monthly_Savings,Adoption_Sort_Order
50,45318,High School,Urban,65.7,330.5,SUV,8.5,551.5,5.6,1.4,1,0.32,9,7.4,8.4,4.5,6.6,9.5,0,High,245.3,78.3,473.2,3
26,36669,Master,Suburban,42.1,230.5,Sedan,1.8,335.1,2.2,5.2,0,0.3,7.9,4.2,5.7,4.9,5.4,6.3,0,Medium,204.7,61.7,273.40000000000003,2
56,58122,High School,Suburban,34.3,203.8,Hatchback,4.5,304.8,5.7,9.3,1,0.34,7.8,5.7,7.8,4,5.4,8.1,0,High,132.4,44.9,259.90000000000003,3
58,27900,,Urban,43.1,261.8,SUV,6.5,322,9.9,3.9,0,0.09,5.2,4.5,4.4,9.3,7.6,5,1,Low,213.6,18.9,303.1,1
65,38247,Bachelor,Urban,33.6,250.1,Sedan,3,302.9,6,1.7,1,0.09,9.3,3.4,6.3,4.8,2.8,9.1,0,High,158.7,15,287.9,3
25,16558,High School,Suburban,22.9,120.9,Sedan,6.3,190.6,4.8,3.5,1,0.33,5.4,2.9,5.2,6.6,3.1,6.1,0,Medium,124,40.5,150.1,2
67,25237,Bachelor,Suburban,11.5,82,Sedan,6.3,158.9,3.6,9,1,0.35,5.1,8.5,4.4,6.3,1,6.9,0,High,57.5,20,138.9,3
46,18950,High School,Rural,40.6,222.1,Sedan,2.4,381.3,6,5.9,1,0.1,5,6.4,5.6,6.5,2,4.8,0,Medium,212.1,21.6,359.7,2
47,119827,High School,Suburban,28.9,171.5,Sedan,7.8,271.1,6.1,14.3,0,0.1,5.9,4.6,8.9,2.7,5.2,8.2,1,High,155.8,15.7,255.40000000000003,3
44,67630,Bachelor,Suburban,37.3,278.2,Hatchback,9.3,312.7,5.6,7.5,0,0.27,7.3,4.8,9.4,3.9,5,8.3,0,High,228.7,60.8,251.89999999999998,3
60,28097,High School,Rural,31.8,240.4,SUV,1.3,216.7,5.6,8.5,1,0.17,5.4,9.4,6,8.2,3.3,5.2,0,High,160.1,27.7,189,3
58,49044,Bachelor,Suburban,12.2,66.7,SUV,9.6,160.1,4.5,10.4,1,0.25,6.2,7.9,6.7,5.9,5,5.9,0,High,44.8,11.1,149,3
54,72103,Bachelor,Suburban,30.3,203.8,SUV,4.3,237.6,4.6,13.4,1,0.16,6.3,3.8,7.2,2.8,5.6,4.5,0,Medium,134.7,21.6,216,2
53,34602,High School,Urban,48.4,325.6,SUV,11.9,427.7,7.1,4.8,0,0.16,7.6,5.1,8.1,4.5,3.1,7.4,0,High,233.9,38.2,389.5,3
66,17241,Bachelor,Suburban,13.7,98.6,SUV,6.8,87.9,3.3,4.6,1,0.2,5.5,5.5,5.6,9,9.1,5.6,1,Low,76.5,15,72.9,1
41,30860,PhD,Urban,23.5,181.9,Hatchback,11.5,176.1,5.8,0.5,1,0.19,7.5,7.1,6.9,4.8,1.7,7,1,High,183.2,34.5,141.6,3
66,31014,Bachelor,Urban,42.2,305.8,SUV,3.9,404.9,8.6,1.8,1,0.11,7.3,1.6,8.4,5.3,7.3,7.3,0,High,184.5,20.5,384.4,3
37,12520,Master,Urban,25,169.7,Sedan,4.1,228,5.3,5.6,0,0.1,7.3,2,4.6,6.5,8.1,5.1,0,Low,161.6,16.5,211.5,1
41,51625,Master,Suburban,12,75.8,Sedan,3.5,56.7,5,6.2,1,0.12,7.3,5.1,8.8,2.7,9.2,8.4,0,Medium,54,6.7,50,2
27,61840,Bachelor,Rural,36.9,209.2,Sedan,10.5,321.3,8,11,1,0.21,8.6,5.5,6.9,4.9,1,5.5,1,High,181.8,37.6,283.7,3
59,47243,PhD,Urban,12.6,82.8,Truck,8.6,105.7,6.7,0.8,0,0.34,4.7,8,5.3,7.7,5.1,5.7,0,Medium,59.4,20.3,85.4,2
67,91098,Master,Urban,48.1,336.5,Sedan,4.9,380,8.6,0.5,0,0.22,9.1,4.6,8.2,4.7,8.4,6.9,0,High,297.1,64.9,315.1,3
42,31135,Bachelor,Suburban,29.7,194.9,SUV,7.9,263,4.9,11,1,0.2,9.9,4.2,8.7,2.6,5.1,9.9,0,High,189.6,38.5,224.5,3
26,16651,Bachelor,Suburban,5,36.3,Sedan,3.9,27.9,5.3,13.6,1,0.23,5.3,3.1,7,6.1,5.7,4.6,1,Low,25.2,5.7,22.2,1
45,44992,PhD,Urban,39.3,259.9,Hatchback,0.5,306,4.8,4.7,0,0.09,6.9,7.3,8,3.7,4.1,8.6,0,High,188.2,16.5,289.5,3
36,73857,High School,Urban,37.6,214,Sedan,0,333.3,10,1.3,0,0.19,9.7,9.4,8.9,2.1,9.4,8.9,0,High,167.3,32,301.3,3
64,66230,Bachelor,Rural,30.2,157.3,Truck,6,245.6,5.8,9.3,1,0.32,9.7,6.8,8.3,4.4,7,9.4,1,High,129.4,42,203.6,3
44,38231,Bachelor,Suburban,65.6,342.8,Truck,3.6,553.8,4.3,13.3,0,0.25,9.1,6.1,6.2,2.5,1.2,6.1,0,High,348.7,88.6,465.19999999999993,3
53,31965,Master,Rural,16.3,116.2,Sedan,7.9,109.4,1.8,5.9,1,0.13,6.6,3.3,6.7,9.8,6.6,7.6,0,Low,116.5,15,94.4,1
49,88249,Master,Urban,15.2,104.6,Hatchback,1.1,77.8,6.1,4.1,1,0.3,8.8,5.4,8.8,2.1,5.3,10,0,High,92.6,28,49.8,3
24,47655,High School,Suburban,15.1,77.5,Truck,7.8,96.3,3.6,7.6,1,0.26,7.1,9.4,8.5,5.8,3.7,8.1,0,High,53.3,13.9,82.39999999999999,3
42,84441,High School,Suburban,42.1,319.5,Sedan,6.9,320.1,2.5,11.6,1,0.08,6.6,5.2,9.8,4.1,4.8,9,0,High,254.1,20.4,299.70000000000005,3
65,32656,Master,Suburban,37.5,228.7,Truck,0.2,377.1,5.1,9.7,1,0.26,5,6.4,6.2,6.5,4.3,4.4,0,Medium,173.3,44.5,332.6,2
35,16765,Bachelor,Suburban,42.7,243,SUV,6,355.8,4.7,13.8,1,0.27,5.4,5.8,6.5,7.3,2.1,5.6,0,Medium,207.9,55.5,300.3,2
42,32679,Bachelor,Urban,48.4,328.2,Sedan,2.6,518.2,7.3,4.1,0,0.18,5.1,7.9,4.6,9.5,5.9,6,1,Medium,268.7,49.3,468.90000000000003,2
38,49297,Bachelor,Urban,29,192.7,Sedan,6,253.8,5.1,0.5,1,0.3,3.2,6.1,3.5,8.2,1.2,4.6,0,Medium,152,46.1,207.70000000000002,2
55,59849,Bachelor,Rural,22,142.8,SUV,5.7,180,6.1,14.9,0,0.18,9.4,3.6,8,2,4,9.5,0,High,112.1,20.5,159.5,3
31,29258,PhD,Urban,31.2,218.1,Sedan,1.1,226.1,8.2,10,1,0.25,3.5,3.6,2.7,9.9,4.5,3.3,1,Low,144.3,36.2,189.89999999999998,1
43,92689,Bachelor,Urban,45.6,339.2,SUV,7.5,393.9,8.2,6.3,1,0.32,7.1,5.6,9.1,5.6,3.3,8.1,0,High,294.5,94.8,299.09999999999997,3
46,18127,Master,Urban,44.4,323.6,Hatchback,2.9,438.4,9,8.3,0,0.33,7.5,4.1,8.5,3.5,3.7,8.7,0,High,325.7,105.9,332.5,3
43,23697,High School,Urban,55.1,432.2,SUV,2.9,399.9,7.9,2.8,0,0.12,6.5,5.2,4.5,7.4,6.8,4.7,0,Medium,436.7,54.4,345.5,2
63,79183,Bachelor,Suburban,45.7,337.4,Hatchback,9.8,329.7,3.8,7.2,1,0.24,6.7,7.2,8.9,4.6,5.4,5,1,High,282.3,68.1,261.6,3
46,51401,Master,Urban,54.9,288.8,SUV,3.1,394.7,10,6.8,0,0.24,8.1,6.3,9.9,3.2,4.5,8.5,0,High,196.4,47.8,346.9,3
51,14585,Bachelor,Urban,40.9,284.2,Truck,3,315.7,7.9,0.5,1,0.21,5.5,2.8,5.5,7.3,4.4,4.7,1,Medium,257.3,55.3,260.4,2
35,22854,High School,Suburban,43.1,333.9,Sedan,3.5,372.6,8.7,12.4,1,0.09,4.6,7.6,4.1,6.6,6.8,4.2,0,Medium,340.7,31.5,341.1,2
56,22193,Bachelor,Suburban,19.9,105.8,Sedan,9.8,216.3,7.2,16.5,1,0.22,7.5,6.6,5.3,7.5,3.2,7.5,0,High,99.8,21.6,194.70000000000002,3
52,39061,High School,Suburban,43.8,300.2,Sedan,4.9,376.7,6.7,6.3,1,0.1,7.8,7.8,4.2,7.6,4.6,5.8,0,High,230.1,24,352.7,3
33,25334,Master,Suburban,37.8,284.8,Truck,3.2,240.9,4.6,11.9,0,0.14,7.8,3.6,4.5,5.3,7.2,6.5,0,Medium,213.5,29,211.9,2
31,24501,Master,Rural,5,33.2,SUV,0,79.7,1.3,11.7,0,0.33,8.8,8.1,5.1,3.5,3.6,9.3,1,High,27.6,9.1,70.60000000000001,3
54,62081,Bachelor,Suburban,13.4,68,Hatchback,7.4,134.7,5.7,14.5,1,0.21,6.2,4.6,9.6,5.2,6.7,10,0,High,46.3,9.9,124.79999999999998,3
36,29720,Master,Urban,39.8,293.3,SUV,10.5,291.7,7.9,3.3,0,0.35,7.2,4.9,9.1,4.7,8.5,8,0,High,247.6,86,205.7,3
63,37964,Master,Urban,28.7,155.8,Hatchback,8.1,197.1,2.8,6,1,0.15,9.3,2.1,6.4,4,4.3,7.5,0,High,145.6,21.6,175.5,3
62,62623,Bachelor,Urban,51.5,276.5,Sedan,2.8,471.4,5.9,9,1,0.33,8.5,7.2,7.5,3.9,2.7,9,1,High,211,70,401.4,3
27,43880,Bachelor,Rural,39.7,219.3,Hatchback,1.8,356.9,6.5,8.6,1,0.25,5.4,7.3,6.3,8.5,4.4,6.5,1,High,146.2,37,319.9,3
46,71353,Master,Rural,44.2,262,SUV,3.8,390.2,6.3,6.9,0,0.11,7.4,6.1,8,2.5,5.8,9.9,0,High,178.5,19,371.2,3
58,94970,Master,Urban,52,402.8,SUV,3.9,424.3,7.9,12.8,1,0.26,8,8.4,7.6,3.2,5.9,7.4,0,High,248.6,65.7,358.6,3
40,54057,High School,Suburban,35.2,233.2,SUV,1.6,262.8,4,13,0,0.19,9,3.4,8.9,3.7,6.3,9.4,0,High,187.9,36.4,226.4,3
59,99122,Bachelor,Urban,16.8,124,SUV,6.1,131.7,5.7,4.7,0,0.33,6.7,3.8,7.6,3.1,4.5,6.1,1,High,98.5,32.4,99.29999999999998,3
64,30276,Bachelor,Urban,31.4,222.1,Sedan,5.5,231.7,5.6,8.5,0,0.35,4.5,8.2,4,7.9,1.9,5.3,0,Low,224.1,77.7,154,1
24,17549,Bachelor,Rural,31.4,171.3,Hatchback,2.2,240.5,4.5,11.4,0,0.09,7.2,6.5,6.2,6.7,7.9,5,0,Medium,137.2,12.1,228.4,2
41,60158,Bachelor,Urban,33.9,220.2,Sedan,6.3,288.5,5.4,1.7,1,0.26,7.2,5.6,8.6,5.9,4.4,7.2,0,High,194.2,49.6,238.9,3
36,26572,Bachelor,Suburban,20.1,123.7,Sedan,11.1,153.6,3.6,9.2,1,0.29,5.2,3.3,8.7,5.9,3.3,7.2,0,Medium,77.4,22.7,130.9,2
54,47897,High School,Urban,29.3,211.3,Sedan,9.5,314.4,6,6.5,1,0.14,8.2,10,8,3.6,3.2,8.4,1,High,209.3,28.3,286.09999999999997,3
29,28921,Bachelor,Urban,26.9,140.3,Hatchback,6.5,199.9,8,5.7,0,0.2,4.8,8.9,6.9,6,3.8,5.8,0,Medium,98.8,20.1,179.8,2
65,58043,High School,Urban,48.4,288.6,SUV,10.4,354.9,6.3,6.1,0,0.12,8.7,6.7,6,3.8,5.5,8.9,0,High,285.8,35.1,319.79999999999995,3
44,20632,Master,Suburban,31.7,163.6,Sedan,1.5,181.4,6.1,14,0,0.18,6.4,7.2,6.5,7.5,5.2,5.6,1,Medium,127.3,22.6,158.8,2
52,34390,High School,Urban,54.8,378.9,SUV,4.9,419.2,6.7,2.6,0,0.09,7.7,6.9,5,7.5,6.2,6.5,1,High,269.9,23,396.2,3
26,49516,Master,Suburban,20.8,105.7,SUV,7.6,159.4,5.8,8.4,1,0.09,7.3,4.5,8.4,3.7,6.2,9.4,1,High,64.6,5.8,153.6,3
22,21809,Master,Urban,43.8,347.3,Hatchback,6.7,358.3,6.6,0.5,1,0.17,4.8,7.8,2.8,8.9,5.1,4.7,0,Medium,225.8,37.4,320.90000000000003,2
62,32344,Bachelor,Urban,14.7,87.9,Hatchback,3.9,115,9.1,4.5,0,0.21,5.3,7,5.5,5.6,4,5.5,0,Medium,56.6,11.7,103.3,2
56,114298,High School,Rural,41.6,273.8,Sedan,8,327.9,3,9.8,1,0.24,8.2,7.3,7.2,2.2,5.1,5.6,1,High,259.3,62.3,265.59999999999997,3
27,21189,Bachelor,Rural,29.4,155.4,Hatchback,5.3,232.1,3.9,14.3,1,0.26,3.2,7.3,3.8,6.6,6.2,5.6,0,Low,111.6,28.9,203.2,1
61,30893,Master,Urban,37.6,298.6,SUV,6.8,413.7,6.2,0.5,1,0.18,5.6,8.1,6,7.2,3.2,6.3,1,High,292.4,53.2,360.5,3
60,50945,Master,Suburban,29.4,154.4,Sedan,5.5,303,8.4,11.2,1,0.14,8.9,3.9,6.3,4.7,3.1,7.7,0,High,93.7,12.8,290.2,3
61,30380,Master,Urban,21,157.4,Truck,5.5,174.4,6.1,5.2,1,0.23,3.8,5.1,3.5,9.3,8.2,4.4,0,Low,123.1,28.7,145.70000000000002,1
23,22191,High School,Urban,45.7,272.9,Hatchback,8,420.4,7.3,0.5,1,0.21,4.3,6.4,6.2,4.8,1.9,5.2,0,High,223.3,47.8,372.59999999999997,3
55,28817,Master,Suburban,43.6,265.5,Sedan,7.3,332.3,5.1,12.1,1,0.34,5.5,4.1,9.4,3.4,2.8,6.7,0,High,229.9,77.7,254.60000000000002,3
57,42918,Master,Suburban,34.9,265.5,SUV,3.6,296.5,4.3,14,0,0.19,9.8,7,5.3,3,5.5,7.1,0,High,160.5,31.2,265.3,3
38,68033,Bachelor,Urban,25.3,194.6,SUV,4.4,243.6,7.9,2.9,1,0.14,7.3,7.9,7.9,3,2.6,7.6,0,High,145.1,19.9,223.7,3
65,78674,Bachelor,Urban,27.7,185.7,Sedan,5.2,248.4,6.2,11.8,1,0.19,7.3,4.7,9.8,6,5.1,8.7,1,High,119,22.1,226.3,3
42,22227,Bachelor,Suburban,12.2,76.5,Sedan,5.6,114,5.8,13,1,0.34,9.4,5.6,5.9,4.1,2.4,8,0,High,53.8,18.3,95.7,3
52,78284,High School,Urban,10.3,63,Sedan,4.3,27.1,5.4,4.2,1,0.15,8.9,4.4,7.9,3.8,1.3,8.2,0,High,57.3,8.7,18.400000000000002,3
63,51461,Bachelor,Suburban,21.1,153.6,Hatchback,6.5,106.2,6.3,15.4,1,0.13,6.2,6.4,8.3,3.8,7,7,0,High,93.7,12.2,94,3
32,31494,High School,Urban,52.5,368.1,SUV,4.8,406.7,4.4,6.2,1,0.26,7.5,7.2,7.9,5.9,1.4,7.8,0,High,235.7,61.2,345.5,3
25,69574,Master,Suburban,7.9,55.6,SUV,7.4,75.8,7.9,11.1,1,0.12,6.6,6.7,9.9,2.5,6.2,7.8,0,High,37.4,4.6,71.2,3
49,81009,PhD,Suburban,10.3,68.9,Hatchback,6.4,3.2,4.5,13.5,1,0.12,7.9,7.1,8.5,3.2,5.4,8.7,0,High,70.6,8.3,-5.1,3
23,21256,High School,Suburban,28.1,155,SUV,4.4,189.7,4.6,8.8,1,0.08,4.1,5.3,6.8,6.1,2.2,6.9,0,Medium,101.7,8.5,181.2,2
24,121099,Bachelor,Suburban,16,79.9,Sedan,3.7,116.8,2,6.4,1,0.08,6.6,3.1,8.7,5,5.9,6.8,0,Low,76.3,6.4,110.39999999999999,1
48,18216,Master,Suburban,36.3,253.8,SUV,6,270.5,5.3,1.4,1,0.35,3.1,3.3,2.5,9.3,5.1,3.6,0,Low,225.8,78,192.5,1
68,37712,Bachelor,Suburban,27.9,196.6,SUV,4.2,252.9,6,4.3,1,0.09,7.2,7.7,8.6,5,5.7,7.2,1,High,184.1,16.1,236.8,3
68,14600,High School,Urban,35.2,195.9,Sedan,8.8,345.3,9.8,4.4,0,0.1,3.9,3.3,2.8,9.5,7.7,5.5,0,Low,177.1,18.3,327,1
53,74224,Bachelor,Suburban,41.3,209.7,Sedan,3.8,328.3,4.4,4.8,1,0.3,8.6,7.3,7.4,3,4.2,8.2,0,High,174.2,51.4,276.90000000000003,3
51,28681,Master,Suburban,5,39.5,SUV,6.9,-7.9,4.8,13.1,0,0.23,4.1,7.2,6.7,6,6.2,5.8,0,Medium,37.6,8.7,-16.6,2
32,76274,High School,Suburban,40.2,256.1,Sedan,3,358.4,7.6,14.6,1,0.24,6.9,5.5,8.3,4.3,1.7,7.5,0,High,159.9,37.7,320.7,3
48,29211,Bachelor,Rural,54,358,Sedan,3.7,479.3,5.6,6.8,0,0.31,8.2,7.1,8.7,3.5,4.6,8.5,1,High,223.2,69.3,410,3
43,78152,High School,Rural,10.3,78.6,Sedan,3.7,139.3,5.3,4.9,1,0.21,7.1,3.9,4.6,4.4,2.3,5.1,0,Medium,49.6,10.3,129,2
36,95253,High School,Suburban,47.2,290.1,Truck,6.6,370.5,5.5,17.7,0,0.15,8.9,10,9.2,3.9,4.9,8.8,1,High,241.5,35.4,335.1,3
23,33031,Bachelor,Suburban,19.3,135.5,Truck,4.5,113.9,4.3,12.2,1,0.32,8.9,5.9,8.3,4,4.8,10,0,High,98.1,31.4,82.5,3
66,63243,High School,Urban,34.4,251.8,Hatchback,9.4,304.2,6.6,3.4,0,0.22,6.8,7.8,9.4,5.7,2.8,8.8,1,High,165.9,36.8,267.4,3
37,12643,Master,Urban,24,180.1,Sedan,6.7,165.5,9.3,1.1,1,0.19,9.6,5.9,5.6,5,10,8.5,1,High,140,27,138.5,3
61,59374,Master,Suburban,54.1,308.7,SUV,5,453.6,6.5,11.6,1,0.34,6.1,5.1,9.3,4.1,5.1,8.6,0,High,289.8,99,354.6,3
59,73400,Bachelor,Suburban,50,394.9,SUV,7.8,470.4,2.1,14.3,1,0.09,9.9,4.6,8.9,2.4,5.2,9.9,0,High,263.6,22.9,447.5,3
35,61326,High School,Suburban,28.4,170,SUV,2.2,304.6,2.6,3.1,1,0.27,9.3,4.2,7.7,5.1,7.4,8.4,0,High,133.4,35.5,269.1,3
32,38499,Master,Urban,35.7,225.1,SUV,4,284.8,6.2,7,0,0.27,9.7,6.1,6.4,3.9,2.9,8,1,High,171.5,46.2,238.60000000000002,3
34,16213,Bachelor,Urban,43,235.2,Sedan,7.2,330.7,9.2,0.5,1,0.14,2.3,8.1,2.3,8.7,1.1,4.5,1,Medium,233.7,33.3,297.4,2
51,77633,Master,Urban,66.3,332.7,Sedan,9.6,591.1,8.9,0.5,0,0.29,6.2,4.7,9.7,5.4,6.6,6.7,1,High,286.1,82.2,508.90000000000003,3
64,32870,Bachelor,Urban,44.4,262.3,SUV,5.8,404.6,6.8,13.2,1,0.14,5.8,10,8.5,2.1,3.2,8.1,1,High,229.7,32.8,371.8,3
67,17093,High School,Suburban,47.4,299.7,Sedan,8.9,398.4,6.9,12.6,1,0.18,8.8,5.5,9,5.5,5.2,7.7,0,High,181.9,32.6,365.79999999999995,3
37,58276,Bachelor,Urban,23.3,147.6,SUV,2.1,200.3,10,2.3,1,0.29,6.6,7.5,9.3,3.8,2.4,8.9,0,High,114.8,33.7,166.60000000000002,3
53,20676,High School,Rural,39.1,207.6,Sedan,2.3,316.8,4.8,9.2,1,0.28,7.6,7,3,7.1,4.7,6.5,0,Medium,139.9,39,277.8,2
22,15689,Master,Suburban,26.1,172.5,SUV,7.3,233.4,,13.4,0,0.24,9.4,5.7,7.7,3.5,6.7,9.5,0,High,137.3,33,200.4,3
37,35540,Bachelor,Urban,24.2,154.9,SUV,5.4,188.8,5.6,0.5,1,0.34,9.7,4.5,5.3,2.5,6.6,7.8,0,High,138.3,46.4,142.4,3
38,83863,Bachelor,Rural,51,283.3,Hatchback,2.9,426.8,5.5,10.1,1,0.09,9.4,4.4,7.5,2.1,5,9.6,0,High,213.7,19.5,407.3,3
69,70408,High School,Urban,39,302.9,SUV,6.3,344,8.9,3.3,1,0.23,8.6,8,5.6,4.7,3.7,7,0,High,194.7,45.1,298.9,3
23,20286,High School,Rural,43.6,346.4,SUV,3.4,405.7,3.3,14.4,0,0.27,6.5,4.7,7,6.3,4.8,6.5,0,Medium,333.7,90.5,315.2,2
28,39684,Master,Rural,22.3,136.8,SUV,6.2,155.9,6,5.6,0,0.33,8.3,5.5,5.5,3.6,5.6,7.4,0,High,92.6,30.9,125,3
60,63960,Bachelor,Urban,36.1,226.6,Sedan,4.1,307.3,9,8.4,1,0.29,5.5,9.1,5.6,4.2,5.4,6.6,0,High,184.4,53.1,254.20000000000002,3
32,58241,Bachelor,Suburban,43.7,223.7,Sedan,3.2,380.8,2.3,13.8,1,0.22,6.9,3.2,8.8,5.2,4.5,9,0,Medium,224.9,49.4,331.40000000000003,2
35,14898,Bachelor,Urban,49.5,350,Hatchback,1.5,387,4.8,7,0,0.29,2.7,4.1,4.7,8.8,7.5,4,0,Low,211.4,60.9,326.1,1
36,54604,Master,Rural,39.9,303.8,Sedan,4.7,307.8,5.1,8.6,1,0.23,6.6,6.8,7.5,5.5,3.1,8.9,0,High,212.6,48.6,259.2,3
43,51773,Bachelor,Rural,52.4,367.3,SUV,5.4,422.7,7.6,4.3,1,0.28,6.6,4.7,9.3,2.7,4.1,6.7,0,High,236.7,66.6,356.1,3
35,56172,High School,Rural,30.2,183.6,SUV,4.9,292.3,8.1,15.7,0,0.24,5.7,6.6,8.9,3.9,1.3,5.9,0,High,157,37.5,254.8,3
31,19991,Bachelor,Suburban,35.9,283.7,SUV,1.9,227.8,8.5,12.2,1,0.26,8.1,4.9,6.5,2.7,1.2,5.8,1,High,177.3,45.6,182.20000000000002,3
23,69736,Bachelor,Suburban,24.5,147.8,Sedan,3.3,191.8,3.5,10.7,1,0.27,6.7,4.6,9.6,2.3,4.3,7.2,0,High,119.2,32.2,159.60000000000002,3
56,49619,Bachelor,Urban,30.4,234.9,Sedan,7.4,219.3,4.5,8.5,0,0.15,4.2,5.1,5.8,8,6.7,4.7,0,Low,228.1,33.3,186,1
69,44174,High School,Urban,27.6,203.2,Truck,6,220.5,8.6,0.5,1,0.16,2.3,8.1,3.2,9,4.9,1.7,0,Low,161.4,26.5,194,1
32,62006,Master,Urban,36,195.1,SUV,10.7,308.2,9.1,3.3,1,0.23,9.8,5.3,7.9,5.5,6,9.7,1,High,164.1,37,271.2,3
56,37830,Bachelor,Suburban,29.3,154.1,Hatchback,4.5,264.1,2.2,5,1,0.31,8.2,10,8.3,3.8,8.3,8.6,0,High,135.3,42.2,221.90000000000003,3
61,28812,Bachelor,Suburban,23,121.4,Sedan,5.9,142.6,3.3,13.1,1,0.16,7.4,5.2,3.6,9.2,4.9,5,0,Low,86.9,13.6,129,1
49,44262,High School,Rural,19.1,144.4,Sedan,7,127.3,3.5,7.7,1,0.27,6.1,5.6,4.3,5,6.3,4.2,1,Medium,98.2,26.5,100.8,2
44,51750,Bachelor,Suburban,24.6,167.9,Sedan,8.6,202.1,4.3,13.1,0,0.14,8.6,4.1,8.7,5.9,7,9.6,0,High,145.4,20.5,181.6,3
66,10599,Master,Suburban,60.5,308.7,Hatchback,3.8,483.7,6.3,11.2,1,0.1,3,7.6,5.7,9.4,3.8,3.8,1,Medium,221.7,21.5,462.2,2
47,71354,Bachelor,Suburban,46.9,284,Sedan,5.3,410.3,5.2,10.4,1,0.23,9.1,10,8.5,4.4,3.1,8.4,0,High,289.4,66.7,343.6,3
25,39610,Bachelor,Urban,22.7,175.2,Sedan,10.4,237.4,6.7,0.5,1,0.2,8.1,1.9,9.1,5.5,4.1,8.9,0,High,152.8,30.8,206.6,3
27,18530,Bachelor,Suburban,10.6,74.2,SUV,4.1,74.5,5.8,11.7,1,0.1,3.7,5.6,4.5,7.8,6.7,2.1,1,Low,45.2,4.5,70,1
54,28454,Bachelor,Suburban,35.4,274.1,Sedan,8.7,289.3,7.7,3.8,1,0.1,6.8,3.7,5.5,7.6,1.2,6.9,0,High,268.5,26.9,262.40000000000003,3
50,16698,High School,Suburban,27.5,209,Sedan,3.5,230.1,6.3,8.6,0,0.19,5.5,6.6,6.4,6.5,9.1,5.8,0,Medium,188.4,36.1,194,2
55,17561,Bachelor,Urban,32,167.3,SUV,6,213.4,7.6,1.7,0,0.31,8,7.5,4.7,8,6.8,7.4,0,Medium,163.2,49.9,163.5,2
26,34268,Bachelor,Rural,33.8,181.4,Truck,2.4,268,8.2,7.3,0,0.15,9.5,4,6,4.6,4.4,7.7,1,High,167.2,25.1,242.9,3
51,22545,PhD,Rural,5,26.5,Hatchback,8.9,69.3,4.6,10.1,0,0.28,4.3,8.8,4.7,6.1,4.9,5.5,0,Low,21.2,5.8,63.5,1
29,26418,High School,Suburban,24.1,127.6,Sedan,7,139,3.3,15.5,1,0.3,5.3,6.9,5,8.3,5.5,4.9,1,Medium,121.3,36,103,2
25,20903,High School,Urban,44.6,325.4,Hatchback,4.7,372.7,5.2,3.5,1,0.25,9.4,6.7,7.8,5,4.2,9.6,1,High,267.6,66.6,306.1,3
64,75313,Bachelor,Urban,5,30.5,SUV,3.7,72.5,8.8,3.8,0,0.13,7,5.4,8,3.1,9.6,8,0,High,29.1,3.8,68.7,3
35,54231,Bachelor,Urban,47.1,263.1,Sedan,0.6,394.8,7,0.5,0,0.27,8.6,7.1,9.4,2.7,4.9,7.9,1,High,202.7,54.5,340.3,3
46,196047,Master,Urban,26.9,212.3,Hatchback,5,270.6,5.5,0.9,1,0.21,8.2,4.9,8.1,2.6,4.8,8.1,0,High,133.9,28.4,242.20000000000002,3
34,48433,Master,Rural,13.1,75.2,SUV,5.5,52.1,4,11.3,0,0.3,6.1,5.6,8.3,3.9,3.5,7.1,0,High,70,21.2,30.900000000000002,3
38,18712,High School,Rural,34.5,210.8,Truck,8.5,369.6,5.3,14.3,1,0.12,5.3,6.7,3.6,9.6,7.4,4.7,1,Low,143.6,17.7,351.90000000000003,1
60,25732,Master,Suburban,24.3,128.1,Hatchback,9.4,201.8,5.1,10.1,0,0.33,5.1,6.1,6.2,4.6,6.5,6.3,0,Medium,111.1,36.6,165.20000000000002,2
59,65036,High School,Urban,34.5,247.6,Sedan,3.5,292.6,6.4,9.7,1,0.31,9.9,7.5,8,5,9.2,8.8,0,High,167.5,52.1,240.50000000000003,3
55,64749,Master,Suburban,20.7,124.9,SUV,6.7,172.1,1.3,7.2,1,0.19,9.5,8.9,8.9,3,4.2,8.2,0,High,101,19.1,153,3
45,73097,Bachelor,Urban,21.5,138.7,Sedan,8.9,195.7,4.9,0.5,1,0.24,8.1,6.2,8.2,2.7,1.6,,0,High,130.7,31.7,164,3
30,48046,Bachelor,Urban,47.9,318.5,SUV,0,382,8.3,5.6,1,0.27,10,8,7.2,3.3,9,8,0,High,289.7,77.1,304.9,3
60,53433,Bachelor,Suburban,35.1,184.9,SUV,3.4,326.2,6.4,5.4,0,0.34,7.1,5.7,7.2,2.5,1.8,6.7,0,High,120.2,41.4,284.8,3
33,40644,Bachelor,Urban,47.3,265.1,Truck,0.6,397.3,3.2,3.7,1,0.33,6.3,4.3,6.7,5.3,9,7.4,0,Medium,161.8,53.3,344,2
